game_play_id,player_id,position,fc_attribution,baseline_fc
2022091200_64,41310.0,RG,0.06424199339972259,0.5574902222928191
2022091200_64,43537.0,C,0.01766085613328905,0.5574902222928191
2022091200_64,47907.0,LG,0.014739964342686984,0.5574902222928191
2022091200_64,54474.0,LT,0.0006850708165803132,0.5574902222928191
2022091200_64,54537.0,RT,0.021895250214001516,0.5574902222928191
2022091200_180,41310.0,RG,0.07134897930905837,0.6109454362242419
2022091200_180,43537.0,C,0.11456045984611757,0.6109454362242419
2022091200_180,47907.0,LG,0.1645340792855854,0.6109454362242419
2022091200_180,54474.0,LT,0.08515165974900629,0.6109454362242419
2022091200_180,54537.0,RT,0.07176468593591345,0.6109454362242419
2022091200_315,41369.0,RT,0.009684160664933383,0.6068099558305012
2022091200_315,44832.0,LT,0.0020802788927214433,0.6068099558305012
2022091200_315,47824.0,LG,0.0014801134527367976,0.6068099558305012
2022091200_315,52491.0,C,0.00023527889226238052,0.6068099558305012
2022091200_315,53527.0,RG,0.0034506005138782436,0.6068099558305012
2022091200_375,41369.0,RT,0.032119466162252475,0.7228416398474312
2022091200_375,44832.0,LT,0.001960551319187487,0.7228416398474312
2022091200_375,47824.0,LG,0.00494640367233945,0.7228416398474312
2022091200_375,52491.0,C,0.012046126261942236,0.7228416398474312
2022091200_375,53527.0,RG,0.010500648014152403,0.7228416398474312
2022091200_446,41369.0,RT,0.1009980781154372,0.5231301987847262
2022091200_446,44832.0,LT,0.0782461430730606,0.5231301987847262
2022091200_446,47824.0,LG,0.10157424171297447,0.5231301987847262
2022091200_446,52491.0,C,0.028869312844616968,0.5231301987847262
2022091200_446,53527.0,RG,0.10988425195336782,0.5231301987847262
2022091200_601,41310.0,RG,0.04972990524901566,0.6006782691261684
2022091200_601,43537.0,C,0.009769530486255285,0.6006782691261684
2022091200_601,47907.0,LG,0.12509788845195496,0.6006782691261684
2022091200_601,54474.0,LT,0.10801986011818543,0.6006782691261684
2022091200_601,54537.0,RT,0.10732429748199362,0.6006782691261684
2022091200_622,41310.0,RG,0.06688399485544805,0.7367237271471715
2022091200_622,43537.0,C,0.09674398211271795,0.7367237271471715
2022091200_622,47907.0,LG,0.12812278522417708,0.7367237271471715
2022091200_622,54474.0,LT,0.13378755971290057,0.7367237271471715
2022091200_622,54537.0,RT,0.04360347619499627,0.7367237271471715
2022091200_643,41310.0,RG,0.0574969326158955,0.6404776624364088
2022091200_643,43537.0,C,0.05136668666187438,0.6404776624364088
2022091200_643,47907.0,LG,0.04215591700127519,0.6404776624364088
2022091200_643,54474.0,LT,0.03822447986213817,0.6404776624364088
2022091200_643,54537.0,RT,0.10421517224832111,0.6404776624364088
2022091200_741,41369.0,RT,0.057174474255021424,0.6298059616921889
2022091200_741,44832.0,LT,0.002473676707329009,0.6298059616921889
2022091200_741,47824.0,LG,0.0032647178468561133,0.6298059616921889
2022091200_741,52491.0,C,0.023304417684974155,0.6298059616921889
2022091200_741,53527.0,RG,0.06584453968782145,0.6298059616921889
2022091200_810,41369.0,RT,0.026075470739674755,0.704617003307652
2022091200_810,44832.0,LT,0.05180987539509163,0.704617003307652
2022091200_810,47824.0,LG,0.0469779808924462,0.704617003307652
2022091200_810,52491.0,C,0.044104520947109704,0.704617003307652
2022091200_810,53527.0,RG,0.01866220108267702,0.704617003307652
2022091200_983,41310.0,RG,0.07760431806702417,0.5699255572552568
2022091200_983,43537.0,C,0.08765642334925167,0.5699255572552568
2022091200_983,47907.0,LG,0.046969748276849965,0.5699255572552568
2022091200_983,54474.0,LT,0.0879788267751247,0.5699255572552568
2022091200_983,54537.0,RT,0.049066940448033725,0.5699255572552568
2022091200_1092,41310.0,RG,0.01753070221471076,0.6043104810347453
2022091200_1092,43537.0,C,0.01068693568797352,0.6043104810347453
2022091200_1092,47907.0,LG,0.0012913009407353737,0.6043104810347453
2022091200_1092,54474.0,LT,0.0008661884903228279,0.6043104810347453
2022091200_1092,54537.0,RT,0.052429491119115434,0.6043104810347453
2022091200_1164,41310.0,RG,0.03731217852502766,0.5768414953686473
2022091200_1164,43537.0,C,0.008959002808687,0.5768414953686473
